t=2026-06-14T14:48:39+0000 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-06-14T14:48:39+0000 lvl=info msg="no configuration paths supplied"
t=2026-06-14T14:48:39+0000 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2026-06-14T14:48:39+0000 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2026-06-14T14:48:39+0000 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-14T14:48:39+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-14T14:48:39+0000 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-14T14:48:39+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-14T14:48:39+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://alibi-aneurism-dupe.ngrok-free.dev
t=2026-06-14T14:48:42+0000 lvl=info msg="join connections" obj=join id=44e3ae95e57d l=127.0.0.1:8000 r=115.79.37.109:57162
t=2026-06-14T14:48:45+0000 lvl=info msg="join connections" obj=join id=1986931af8ca l=127.0.0.1:8000 r=34.12.125.176:44782
t=2026-06-14T14:49:19+0000 lvl=info msg="join connections" obj=join id=3df613e8c541 l=127.0.0.1:8000 r=34.12.125.176:39142
t=2026-06-14T14:49:24+0000 lvl=info msg=start pg=/api/tunnels id=ae2e2b8db84cc753
t=2026-06-14T14:49:24+0000 lvl=info msg=end pg=/api/tunnels id=ae2e2b8db84cc753 status=200 dur=403.014µs
t=2026-06-14T14:49:33+0000 lvl=info msg="join connections" obj=join id=151be0bafc43 l=127.0.0.1:8000 r=115.79.37.109:52614
t=2026-06-14T14:49:40+0000 lvl=info msg="join connections" obj=join id=076d7a02ff71 l=127.0.0.1:8000 r=[2405:4802:9191:bb30:a8f5:7699:189e:b83c]:53810
t=2026-06-14T14:49:44+0000 lvl=info msg="join connections" obj=join id=3dc79ca64629 l=127.0.0.1:8000 r=34.12.125.176:39576
t=2026-06-14T14:50:11+0000 lvl=info msg="join connections" obj=join id=53f781c00c78 l=127.0.0.1:8000 r=115.79.37.109:59140
t=2026-06-14T14:50:48+0000 lvl=info msg="join connections" obj=join id=ae8444bbf957 l=127.0.0.1:8000 r=34.12.125.176:41032
t=2026-06-14T14:50:48+0000 lvl=info msg="join connections" obj=join id=72d27f7f0cc8 l=127.0.0.1:8000 r=34.12.125.176:41044
t=2026-06-14T14:50:48+0000 lvl=info msg="join connections" obj=join id=451a8dd3ebd1 l=127.0.0.1:8000 r=34.12.125.176:41056
t=2026-06-14T14:50:52+0000 lvl=info msg="join connections" obj=join id=849baaa185b1 l=127.0.0.1:8000 r=115.79.37.109:52216
